expense_type,expense_date,expense_amount
Miscellaneous,2018-12-21,11900
Food,2018-12-24,12000
Rent,2018-12-27,12100
Insurance,2018-12-30,12200
Entertainment,2019-01-02,12300
Food,2019-01-05,12400
Rent,2019-01-08,12500
Entertainment,2019-01-11,12600
Insurance,2019-01-14,12700
Education,2019-01-17,12800
Insurance,2019-01-20,12900
Utilities,2019-01-23,13000
Education,2019-01-26,13100
Food,2019-01-29,13200
Miscellaneous,2019-02-01,13300
Insurance,2019-02-04,13400
Miscellaneous,2019-02-07,13500
Education,2019-02-10,13600
Insurance,2019-02-13,13700
Education,2019-02-16,13800
Entertainment,2019-02-19,13900
Utilities,2019-02-22,14000
Insurance,2019-02-25,14100
Entertainment,2019-02-28,14200
Travel,2019-03-03,14300
Food,2019-03-06,14400
Miscellaneous,2019-03-09,14500
Travel,2019-03-12,14600
Miscellaneous,2019-03-15,14700
Miscellaneous,2019-03-18,14800
Miscellaneous,2019-03-21,14900
Food,2019-03-24,15000
Miscellaneous,2019-03-27,15100
Utilities,2019-03-30,15200
Food,2019-04-02,15300
Rent,2019-04-05,15400
Food,2019-04-08,15500
Education,2019-04-11,15600
Entertainment,2019-04-14,15700
Miscellaneous,2019-04-17,15800
Insurance,2019-04-20,15900
Utilities,2019-04-23,16000
Miscellaneous,2019-04-26,16100
Miscellaneous,2019-04-29,16200
Utilities,2019-05-02,16300
Food,2019-05-05,16400
Food,2019-05-08,16500
Rent,2019-05-11,16600
Entertainment,2019-05-14,16700
Miscellaneous,2019-05-17,16800
Entertainment,2019-05-20,16900
Miscellaneous,2019-05-23,17000
Utilities,2019-05-26,17100
Education,2019-05-29,17200
Utilities,2019-06-01,17300
Miscellaneous,2019-06-04,17400
Food,2019-06-07,17500
Travel,2019-06-10,17600
Education,2019-06-13,17700
Utilities,2019-06-16,17800
Education,2019-06-19,17900
Miscellaneous,2019-06-22,18000
Travel,2019-06-25,18100
Entertainment,2019-06-28,18200
Education,2019-07-01,18300
Education,2019-07-04,18400
Insurance,2019-07-07,18500
Entertainment,2019-07-10,18600
Rent,2019-07-13,18700
Miscellaneous,2019-07-16,18800
Utilities,2019-07-19,18900
Entertainment,2019-07-22,19000
Miscellaneous,2019-07-25,19100
Travel,2019-07-28,19200
Insurance,2019-07-31,19300
Travel,2019-08-03,19400
Food,2019-08-06,19500
Education,2019-08-09,19600
Rent,2019-08-12,19700
Utilities,2019-08-15,19800
Utilities,2019-08-18,19900
Travel,2019-08-21,20000
Insurance,2019-08-24,20100
Rent,2019-08-27,20200
Rent,2019-08-30,20300
Travel,2019-09-02,20400
Entertainment,2019-09-05,20500
Travel,2019-09-08,20600
Utilities,2019-09-11,20700
Education,2019-09-14,20800
Insurance,2019-09-17,20900
Education,2019-09-20,21000
Travel,2019-09-23,21100
Entertainment,2019-09-26,21200
Education,2019-09-29,21300
Miscellaneous,2019-10-02,21400
Education,2019-10-05,21500
Food,2019-10-08,21600
Utilities,2019-10-11,21700
Entertainment,2019-10-14,21800
Education,2019-10-17,21900
Miscellaneous,2019-10-20,22000
Miscellaneous,2019-10-23,22100
Travel,2019-10-26,22200
Rent,2019-10-29,22300
Education,2019-11-01,22400
Miscellaneous,2019-11-04,22500
Miscellaneous,2019-11-07,22600
Entertainment,2019-11-10,22700
Rent,2019-11-13,22800
Travel,2019-11-16,22900
Rent,2019-11-19,23000
Insurance,2019-11-22,23100
Entertainment,2019-11-25,23200
Food,2019-11-28,23300
Food,2019-12-01,23400
Insurance,2019-12-04,23500
Travel,2019-12-07,23600
Miscellaneous,2019-12-10,23700
Travel,2019-12-13,23800
Insurance,2019-12-16,23900
Miscellaneous,2019-12-19,24000
Travel,2019-12-22,24100
Travel,2019-12-25,24200
Insurance,2019-12-28,24300
Utilities,2019-12-31,24400
Travel,2020-01-03,24500
Entertainment,2020-01-06,24600
Insurance,2020-01-09,24700
Travel,2020-01-12,24800
Insurance,2020-01-15,24900
Travel,2020-01-18,25000
Utilities,2020-01-21,25100
Utilities,2020-01-24,25200
Food,2020-01-27,25300
Rent,2020-01-30,25400
Miscellaneous,2020-02-02,25500
Entertainment,2020-02-05,25600
Entertainment,2020-02-08,25700
Insurance,2020-02-11,25800
Entertainment,2020-02-14,25900
Entertainment,2020-02-17,26000
Rent,2020-02-20,26100
Insurance,2020-02-23,26200
Rent,2020-02-26,26300
Travel,2020-02-29,26400
Insurance,2020-03-03,26500
Education,2020-03-06,26600
Travel,2020-03-09,26700
Travel,2020-03-12,26800
Utilities,2020-03-15,26900
Education,2020-03-18,27000
Utilities,2020-03-21,27100
Entertainment,2020-03-24,27200
Travel,2020-03-27,27300
Food,2020-03-30,27400
Food,2020-04-02,27500
Insurance,2020-04-05,27600
Miscellaneous,2020-04-08,27700
Travel,2020-04-11,27800
Travel,2020-04-14,27900
Miscellaneous,2020-04-17,28000
Utilities,2020-04-20,28100
Food,2020-04-23,28200
Education,2020-04-26,28300
Rent,2020-04-29,28400
Utilities,2020-05-02,28500
Entertainment,2020-05-05,28600
Insurance,2020-05-08,28700
Rent,2020-05-11,28800
Food,2020-05-14,28900
Travel,2020-05-17,29000
Insurance,2020-05-20,29100
Utilities,2020-05-23,29200
Insurance,2020-05-26,29300
Rent,2020-05-29,29400
Food,2020-06-01,29500
Insurance,2020-06-04,29600
Insurance,2020-06-07,29700
Travel,2020-06-10,29800
Travel,2020-06-13,29900
Entertainment,2020-06-16,30000
Miscellaneous,2020-06-19,30100
Travel,2020-06-22,30200
Education,2020-06-25,30300
Rent,2020-06-28,30400
Miscellaneous,2020-07-01,30500
Utilities,2020-07-04,30600
Education,2020-07-07,30700
Rent,2020-07-10,30800
Insurance,2020-07-13,30900
Utilities,2020-07-16,31000
Travel,2020-07-19,31100
Education,2020-07-22,31200
Entertainment,2020-07-25,31300
Insurance,2020-07-28,31400
Utilities,2020-07-31,31500
Travel,2020-08-03,31600
Travel,2020-08-06,31700
Utilities,2020-08-09,31800
Education,2020-08-12,31900
Utilities,2020-08-15,32000
Education,2020-08-18,32100
Entertainment,2020-08-21,32200
Travel,2020-08-24,32300
Travel,2020-08-27,32400
Education,2020-08-30,32500
Insurance,2020-09-02,32600
Travel,2020-09-05,32700
Education,2020-09-08,32800
Food,2020-09-11,32900
Miscellaneous,2020-09-14,33000
Food,2020-09-17,33100
Travel,2020-09-20,33200
Utilities,2020-09-23,33300
Utilities,2020-09-26,33400
Rent,2020-09-29,33500
Utilities,2020-10-02,33600
Education,2020-10-05,33700
Education,2020-10-08,33800
Travel,2020-10-11,33900
Entertainment,2020-10-14,34000
Rent,2020-10-17,34100
Miscellaneous,2020-10-20,34200
Food,2020-10-23,34300
Entertainment,2020-10-26,34400
Miscellaneous,2020-10-29,34500
Entertainment,2020-11-01,34600
Miscellaneous,2020-11-04,34700
Travel,2020-11-07,34800
Rent,2020-11-10,34900
Education,2020-11-13,35000
Travel,2020-11-16,35100
Rent,2020-11-19,35200
Education,2020-11-22,35300
Miscellaneous,2020-11-25,35400
Travel,2020-11-28,35500
Rent,2020-12-01,35600
Rent,2020-12-04,35700
Education,2020-12-07,35800
Miscellaneous,2020-12-10,35900
Travel,2020-12-13,36000
Education,2020-12-16,36100
Rent,2020-12-19,36200
Travel,2020-12-22,36300
Entertainment,2020-12-25,36400
Travel,2020-12-28,36500
Education,2020-12-31,36600
Food,2021-01-03,36700
Entertainment,2021-01-06,36800
Travel,2021-01-09,36900
Entertainment,2021-01-12,37000
Food,2021-01-15,37100
Miscellaneous,2021-01-18,37200
Insurance,2021-01-21,37300
Food,2021-01-24,37400
Insurance,2021-01-27,37500
Insurance,2021-01-30,37600
Travel,2021-02-02,37700
Utilities,2021-02-05,37800
Utilities,2021-02-08,37900
Entertainment,2021-02-11,38000
Food,2021-02-14,38100
Miscellaneous,2021-02-17,38200
Entertainment,2021-02-20,38300
Utilities,2021-02-23,38400
Education,2021-02-26,38500
Miscellaneous,2021-03-01,38600
Travel,2021-03-04,38700
Miscellaneous,2021-03-07,38800
Insurance,2021-03-10,38900
Food,2021-03-13,39000
Entertainment,2021-03-16,39100
Miscellaneous,2021-03-19,39200
Rent,2021-03-22,39300
Utilities,2021-03-25,39400
Miscellaneous,2021-03-28,39500
Miscellaneous,2021-03-31,39600
Miscellaneous,2021-04-03,39700
Education,2021-04-06,39800
Utilities,2021-04-09,39900
Food,2021-04-12,40000
Food,2021-04-15,40100
Education,2021-04-18,40200
Insurance,2021-04-21,40300
Food,2021-04-24,40400
Travel,2021-04-27,40500
Entertainment,2021-04-30,40600
Education,2021-05-03,40700
Insurance,2021-05-06,40800
Travel,2021-05-09,40900
Education,2021-05-12,41000
Food,2021-05-15,41100
Travel,2021-05-18,41200
Utilities,2021-05-21,41300
Miscellaneous,2021-05-24,41400
Rent,2021-05-27,41500
Food,2021-05-30,41600
Miscellaneous,2021-06-02,41700
Miscellaneous,2021-06-05,41800
Travel,2021-06-08,41900
Miscellaneous,2021-06-11,42000
Insurance,2021-06-14,42100
Entertainment,2021-06-17,42200
Education,2021-06-20,42300
Travel,2021-06-23,42400
Miscellaneous,2021-06-26,42500
Miscellaneous,2021-06-29,42600
Rent,2021-07-02,42700
Food,2021-07-05,42800
Education,2021-07-08,42900
Rent,2021-07-11,43000
Education,2021-07-14,43100
Food,2021-07-17,43200
Rent,2021-07-20,43300
Education,2021-07-23,43400
Rent,2021-07-26,43500
Miscellaneous,2021-07-29,43600
Miscellaneous,2021-08-01,43700
Miscellaneous,2021-08-04,43800
Entertainment,2021-08-07,43900
Miscellaneous,2021-08-10,44000
Food,2021-08-13,44100
Food,2021-08-16,44200
Food,2021-08-19,44300
Rent,2021-08-22,44400
Rent,2021-08-25,44500
Miscellaneous,2021-08-28,44600
Travel,2021-08-31,44700
Travel,2021-09-03,44800
Travel,2021-09-06,44900
Travel,2021-09-09,45000
Education,2021-09-12,45100
Miscellaneous,2021-09-15,45200
Rent,2021-09-18,45300
Education,2021-09-21,45400
Utilities,2021-09-24,45500
Miscellaneous,2021-09-27,45600
Travel,2021-09-30,45700
Insurance,2021-10-03,45800
Miscellaneous,2021-10-06,45900
Education,2021-10-09,46000
Education,2021-10-12,46100
Education,2021-10-15,46200
Rent,2021-10-18,46300
Utilities,2021-10-21,46400
Education,2021-10-24,46500
Miscellaneous,2021-10-27,46600
Rent,2021-10-30,46700
Travel,2021-11-02,46800
Food,2021-11-05,46900
Food,2021-11-08,47000
Travel,2021-11-11,47100
Food,2021-11-14,47200
Utilities,2021-11-17,47300
Miscellaneous,2021-11-20,47400
Utilities,2021-11-23,47500
Insurance,2021-11-26,47600
Education,2021-11-29,47700
Miscellaneous,2021-12-02,47800
Entertainment,2021-12-05,47900
Miscellaneous,2021-12-08,48000
Travel,2021-12-11,48100
Insurance,2021-12-14,48200
Utilities,2021-12-17,48300
Entertainment,2021-12-20,48400
Insurance,2021-12-23,48500
Travel,2021-12-26,48600
Rent,2021-12-29,48700
Utilities,2022-01-01,48800
Rent,2022-01-04,48900
Food,2022-01-07,49000
Entertainment,2022-01-10,49100
Food,2022-01-13,49200
Education,2022-01-16,49300
Food,2022-01-19,49400
Food,2022-01-22,49500
Food,2022-01-25,49600
Travel,2022-01-28,49700
Insurance,2022-01-31,49800
Food,2022-02-03,49900
Travel,2022-02-06,50000
Entertainment,2022-02-09,50100
Insurance,2022-02-12,50200
Utilities,2022-02-15,50300
Education,2022-02-18,50400
Insurance,2022-02-21,50500
Insurance,2022-02-24,50600
Rent,2022-02-27,50700
Education,2022-03-02,50800
Food,2022-03-05,50900
Travel,2022-03-08,51000
Miscellaneous,2022-03-11,51100
Education,2022-03-14,51200
Travel,2022-03-17,51300
Rent,2022-03-20,51400
Education,2022-03-23,51500
Insurance,2022-03-26,51600
Entertainment,2022-03-29,51700
Utilities,2022-04-01,51800
Rent,2022-04-04,51900
Travel,2022-04-07,52000
Insurance,2022-04-10,52100
Insurance,2022-04-13,52200
Food,2022-04-16,52300
Rent,2022-04-19,52400
Insurance,2022-04-22,52500
Travel,2022-04-25,52600
Rent,2022-04-28,52700
Utilities,2022-05-01,52800
Travel,2022-05-04,52900
Food,2022-05-07,53000
Travel,2022-05-10,53100
Travel,2022-05-13,53200
Travel,2022-05-16,53300
Rent,2022-05-19,53400
Education,2022-05-22,53500
Travel,2022-05-25,53600
Food,2022-05-28,53700
Miscellaneous,2022-05-31,53800
Education,2022-06-03,53900
Travel,2022-06-06,54000
Entertainment,2022-06-09,54100
Education,2022-06-12,54200
Entertainment,2022-06-15,54300
Entertainment,2022-06-18,54400
Food,2022-06-21,54500
Food,2022-06-24,54600
Entertainment,2022-06-27,54700
Insurance,2022-06-30,54800
Miscellaneous,2022-07-03,54900
Travel,2022-07-06,55000
Utilities,2022-07-09,55100
Education,2022-07-12,55200
Insurance,2022-07-15,55300
Utilities,2022-07-18,55400
Food,2022-07-21,55500
Miscellaneous,2022-07-24,55600
Food,2022-07-27,55700
Travel,2022-07-30,55800
Insurance,2022-08-02,55900
Rent,2022-08-05,56000
Utilities,2022-08-08,56100
Food,2022-08-11,56200
Rent,2022-08-14,56300
Rent,2022-08-17,56400
Utilities,2022-08-20,56500
Food,2022-08-23,56600
Food,2022-08-26,56700
Miscellaneous,2022-08-29,56800
Utilities,2022-09-01,56900
Entertainment,2022-09-04,57000
Insurance,2022-09-07,57100
Food,2022-09-10,57200
Entertainment,2022-09-13,57300
Travel,2022-09-16,57400
Insurance,2022-09-19,57500
Utilities,2022-09-22,57600
Food,2022-09-25,57700
Food,2022-09-28,57800
Food,2022-10-01,57900
Entertainment,2022-10-04,58000
Entertainment,2022-10-07,58100
Food,2022-10-10,58200
Utilities,2022-10-13,58300
Entertainment,2022-10-16,58400
Travel,2022-10-19,58500
Rent,2022-10-22,58600
Entertainment,2022-10-25,58700
Insurance,2022-10-28,58800
Insurance,2022-10-31,58900
Miscellaneous,2022-11-03,59000
Food,2022-11-06,59100
Insurance,2022-11-09,59200
Miscellaneous,2022-11-12,59300
Travel,2022-11-15,59400
Food,2022-11-18,59500
Education,2022-11-21,59600
Entertainment,2022-11-24,59700
Education,2022-11-27,59800
Education,2022-11-30,59900
Utilities,2022-12-03,60000
Miscellaneous,2022-12-06,60100
Utilities,2022-12-09,60200
Entertainment,2022-12-12,60300
Food,2022-12-15,60400
Travel,2022-12-18,60500
Food,2022-12-21,60600
Education,2022-12-24,60700
Entertainment,2022-12-27,60800
Food,2022-12-30,60900
Entertainment,2023-01-02,61000
Education,2023-01-05,61100
Insurance,2023-01-08,61200
Travel,2023-01-11,61300
Miscellaneous,2023-01-14,61400
Food,2023-01-17,61500
Food,2023-01-20,61600
Food,2023-01-23,61700
Education,2023-01-26,61800
Entertainment,2023-01-29,61900
Rent,2023-02-01,62000
Miscellaneous,2023-02-04,62100
Travel,2023-02-07,62200
Education,2023-02-10,62300
Miscellaneous,2023-02-13,62400
Miscellaneous,2023-02-16,62500
Utilities,2023-02-19,62600
Insurance,2023-02-22,62700
Rent,2023-02-25,62800
Education,2023-02-28,62900
Miscellaneous,2023-03-03,63000
Entertainment,2023-03-06,63100
Education,2023-03-09,63200
Travel,2023-03-12,63300
Education,2023-03-15,63400
Education,2023-03-18,63500
Insurance,2023-03-21,63600
Utilities,2023-03-24,63700
Food,2023-03-27,63800
Insurance,2023-03-30,63900
Food,2023-04-02,64000
Entertainment,2023-04-05,64100
Miscellaneous,2023-04-08,64200
Entertainment,2023-04-11,64300
Utilities,2023-04-14,64400
Travel,2023-04-17,64500
Travel,2023-04-20,64600
Insurance,2023-04-23,64700
Education,2023-04-26,64800
Miscellaneous,2023-04-29,64900
Food,2023-05-02,65000
Food,2023-05-05,65100
Food,2023-05-08,65200
Food,2023-05-11,65300
Food,2023-05-14,65400
Travel,2023-05-17,65500
Insurance,2023-05-20,65600
Education,2023-05-23,65700
Rent,2023-05-26,65800
Utilities,2023-05-29,65900
Food,2023-06-01,66000
Miscellaneous,2023-06-04,66100
Travel,2023-06-07,66200
Entertainment,2023-06-10,66300
Food,2023-06-13,66400
Travel,2023-06-16,66500
Entertainment,2023-06-19,66600
Rent,2023-06-22,66700
Miscellaneous,2023-06-25,66800
Rent,2023-06-28,66900
Miscellaneous,2023-07-01,67000
Utilities,2023-07-04,67100
Education,2023-07-07,67200
Education,2023-07-10,67300
Utilities,2023-07-13,67400
Travel,2023-07-16,67500
Education,2023-07-19,67600
Utilities,2023-07-22,67700
Utilities,2023-07-25,67800
Rent,2023-07-28,67900
Insurance,2023-07-31,68000
Utilities,2023-08-03,68100
Entertainment,2023-08-06,68200
Food,2023-08-09,68300
Education,2023-08-12,68400
Travel,2023-08-15,68500
Utilities,2023-08-18,68600
Travel,2023-08-21,68700
Rent,2023-08-24,68800
Rent,2023-08-27,68900
Travel,2023-08-30,69000
Education,2023-09-02,69100
Education,2023-09-05,69200
Entertainment,2023-09-08,69300
Utilities,2023-09-11,69400
Utilities,2023-09-14,69500
Travel,2023-09-17,69600
Food,2023-09-20,69700
Rent,2023-09-23,69800
Entertainment,2023-09-26,69900
Rent,2023-09-29,70000
Food,2023-10-02,70100
Miscellaneous,2023-10-05,70200
Education,2023-10-08,70300
Food,2023-10-11,70400
Utilities,2023-10-14,70500
Rent,2023-10-17,70600
Education,2023-10-20,70700
Rent,2023-10-23,70800
Education,2023-10-26,70900
Education,2023-10-29,71000
Rent,2023-11-01,71100
Rent,2023-11-04,71200
Rent,2023-11-07,71300
Miscellaneous,2023-11-10,71400
Rent,2023-11-13,71500
Travel,2023-11-16,71600
Miscellaneous,2023-11-19,71700
Insurance,2023-11-22,71800
Insurance,2023-11-25,71900
Education,2023-11-28,72000
Miscellaneous,2023-12-01,72100
Entertainment,2023-12-04,72200
Miscellaneous,2023-12-07,72300
Education,2023-12-10,72400
Food,2023-12-13,72500
Miscellaneous,2023-12-16,72600
Entertainment,2023-12-19,72700
Miscellaneous,2023-12-22,72800
Utilities,2023-12-25,72900
Travel,2023-12-28,73000
Education,2023-12-31,73100
Utilities,2024-01-03,73200
Utilities,2024-01-06,73300
Education,2024-01-09,73400
Utilities,2024-01-12,73500
Entertainment,2024-01-15,73600
Food,2024-01-18,73700
Travel,2024-01-21,73800
Utilities,2024-01-24,73900
Miscellaneous,2024-01-27,74000
Food,2024-01-30,74100
Education,2024-02-02,74200
Utilities,2024-02-05,74300
Insurance,2024-02-08,74400
Rent,2024-02-11,74500
Rent,2024-02-14,74600
Insurance,2024-02-17,74700
Travel,2024-02-20,74800
Education,2024-02-23,74900
Utilities,2024-02-26,75000
Food,2024-02-29,75100
Rent,2024-03-03,75200
Utilities,2024-03-06,75300
Miscellaneous,2024-03-09,75400
Travel,2024-03-12,75500
Travel,2024-03-15,75600
Food,2024-03-18,75700
Education,2024-03-21,75800
Insurance,2024-03-24,75900
Insurance,2024-03-27,76000
Entertainment,2024-03-30,76100
Travel,2024-04-02,76200
Food,2024-04-05,76300
Food,2024-04-08,76400
Rent,2024-04-11,76500
Insurance,2024-04-14,76600
Insurance,2024-04-17,76700
Rent,2024-04-20,76800
Entertainment,2024-04-23,76900
Travel,2024-04-26,77000
Travel,2024-04-29,77100
Education,2024-05-02,77200
Miscellaneous,2024-05-05,77300
Insurance,2024-05-08,77400
Education,2024-05-11,77500
Utilities,2024-05-14,77600
Miscellaneous,2024-05-17,77700
Travel,2024-05-20,77800
Utilities,2024-05-23,77900
Insurance,2024-05-26,78000
Travel,2024-05-29,78100
Travel,2024-06-01,78200
Travel,2024-06-04,78300
Miscellaneous,2024-06-07,78400
Education,2024-06-10,78500
Entertainment,2024-06-13,78600
Insurance,2024-06-16,78700
Entertainment,2024-06-19,78800
Travel,2024-06-22,78900
Insurance,2024-06-25,79000
Food,2024-06-28,79100
Miscellaneous,2024-07-01,79200
Travel,2024-07-04,79300
Food,2024-07-07,79400
Education,2024-07-10,79500
Education,2024-07-13,79600
Insurance,2024-07-16,79700
Entertainment,2024-07-19,79800
Utilities,2024-07-22,79900
Miscellaneous,2024-07-25,80000
Miscellaneous,2024-07-28,80100
Rent,2024-07-31,80200
Travel,2024-08-03,80300
Insurance,2024-08-06,80400
Education,2024-08-09,80500
Miscellaneous,2024-08-12,80600
Insurance,2024-08-15,80700
Travel,2024-08-18,80800
Rent,2024-08-21,80900
Rent,2024-08-24,81000
Travel,2024-08-27,81100
Miscellaneous,2024-08-30,81200
Entertainment,2024-09-02,81300
Travel,2024-09-05,81400
Rent,2024-09-08,81500
Entertainment,2024-09-11,81600
Travel,2024-09-14,81700
Miscellaneous,2024-09-17,81800
Rent,2024-09-20,81900
Education,2024-09-23,82000
Education,2024-09-26,82100
Insurance,2024-09-29,82200
Entertainment,2024-10-02,82300
Food,2024-10-05,82400
Rent,2024-10-08,82500
Travel,2024-10-11,82600
Rent,2024-10-14,82700
Utilities,2024-10-17,82800
Miscellaneous,2024-10-20,82900
Food,2024-10-23,83000
Rent,2024-10-26,83100
Travel,2024-10-29,83200
Miscellaneous,2024-11-01,83300
Travel,2024-11-04,83400
Entertainment,2024-11-07,83500
Travel,2024-11-10,83600
Insurance,2024-11-13,83700
Travel,2024-11-16,83800
Entertainment,2024-11-19,83900
Education,2024-11-22,84000
Rent,2024-11-25,84100
Utilities,2024-11-28,84200
Rent,2024-12-01,84300
Utilities,2024-12-04,84400
Rent,2024-12-07,84500
Miscellaneous,2024-12-10,84600
Insurance,2024-12-13,84700
Food,2024-12-16,84800
Food,2024-12-19,84900
Travel,2024-12-22,85000
Utilities,2024-12-25,85100
Education,2024-12-28,85200
Rent,2024-12-31,85300
Travel,2025-01-03,85400
Food,2025-01-06,85500
Travel,2025-01-09,85600
Insurance,2025-01-12,85700
Miscellaneous,2025-01-15,85800
Food,2025-01-18,85900
Entertainment,2025-01-21,86000
Education,2025-01-24,86100
Food,2025-01-27,86200
Insurance,2025-01-30,86300
Education,2025-02-02,86400
Insurance,2025-02-05,86500
Utilities,2025-02-08,86600
Food,2025-02-11,86700
Travel,2025-02-14,86800
Entertainment,2025-02-17,86900
Miscellaneous,2025-02-20,87000
Food,2025-02-23,87100
Entertainment,2025-02-26,87200
Miscellaneous,2025-03-01,87300
Food,2025-03-04,87400
Travel,2025-03-07,87500
Rent,2025-03-10,87600
Miscellaneous,2025-03-13,87700
Rent,2025-03-16,87800
Miscellaneous,2025-03-19,87900
Utilities,2025-03-22,88000
Education,2025-03-25,88100
Miscellaneous,2025-03-28,88200
Entertainment,2025-03-31,88300
Entertainment,2025-04-03,88400
Food,2025-04-06,88500
Utilities,2025-04-09,88600
Insurance,2025-04-12,88700
Insurance,2025-04-15,88800
Miscellaneous,2025-04-18,88900
Miscellaneous,2025-04-21,89000
Utilities,2025-04-24,89100
Utilities,2025-04-27,89200
Education,2025-04-30,89300
Education,2025-05-03,89400
Miscellaneous,2025-05-06,89500
Travel,2025-05-09,89600
Miscellaneous,2025-05-12,89700
Utilities,2025-05-15,89800
Entertainment,2025-05-18,89900
Entertainment,2025-05-21,90000
Miscellaneous,2025-05-24,90100
Rent,2025-05-27,90200
Rent,2025-05-30,90300
Insurance,2025-06-02,90400
Entertainment,2025-06-05,90500
Utilities,2025-06-08,90600
Miscellaneous,2025-06-11,90700
Education,2025-06-14,90800
Food,2025-06-17,90900
Insurance,2025-06-20,91000
Education,2025-06-23,91100
Education,2025-06-26,91200
Travel,2025-06-29,91300
Entertainment,2025-07-02,91400
Insurance,2025-07-05,91500
Utilities,2025-07-08,91600
Miscellaneous,2025-07-11,91700
Rent,2025-07-14,91800
Food,2025-07-17,91900
Food,2025-07-20,92000
Utilities,2025-07-23,92100
Education,2025-07-26,92200
Rent,2025-07-29,92300
Travel,2025-08-01,92400
Entertainment,2025-08-04,92500
Food,2025-08-07,92600
Travel,2025-08-10,92700
Miscellaneous,2025-08-13,92800
Insurance,2025-08-16,92900
Utilities,2025-08-19,93000
Miscellaneous,2025-08-22,93100
Food,2025-08-25,93200
Travel,2025-08-28,93300
Entertainment,2025-08-31,93400
Food,2025-09-03,93500
Insurance,2025-09-06,93600
Education,2025-09-09,93700
Insurance,2025-09-12,93800
Insurance,2025-09-15,93900
Food,2025-09-18,94000
Utilities,2025-09-21,94100
Utilities,2025-09-24,94200
Entertainment,2025-09-27,94300
Travel,2025-09-30,94400
Insurance,2025-10-03,94500
Insurance,2025-10-06,94600
Food,2025-10-09,94700
Education,2025-10-12,94800
Food,2025-10-15,94900
Rent,2025-10-18,95000
Miscellaneous,2025-10-21,95100
